날짜,소비자물가지수,소매판매지수,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균),회사채 3년(평균),CD 91물(평균),"콜금리(1일물,평균)",기준금리
201211,92.011,97.5,2.8,2.87,2.99,3.32,2.85,2.75,2.75
201212,92.175,99.8,2.85,2.98,3.13,3.3,2.88,2.75,2.75
201301,92.728,91.2,2.75,2.86,3.05,3.2,2.86,2.76,2.75
201302,93.038,86.8,2.7,2.83,3.04,3.06,2.83,2.75,2.75
201303,92.952,93.6,2.6,2.69,2.91,2.95,2.81,2.74,2.75
201304,92.823,91.9,2.55,2.63,2.84,2.91,2.8,2.75,2.75
201305,92.823,96.7,2.59,2.68,2.9,2.96,2.72,2.55,2.5
201306,92.71,93.2,2.87,3.08,3.31,3.24,2.69,2.49,2.5
201307,92.909,95.3,2.91,3.18,3.47,3.38,2.68,2.48,2.5
201308,93.238,91.1,2.94,3.26,3.61,3.33,2.66,2.5,2.5
201309,93.419,94.0,2.9,3.17,3.53,3.29,2.66,2.5,2.5
201310,93.134,97.1,2.83,3.08,3.44,3.25,2.66,2.5,2.5
201311,93.116,98.7,2.94,3.24,3.58,3.37,2.65,2.5,2.5
201312,93.229,99.9,2.94,3.3,3.65,3.36,2.65,2.5,2.5
201401,93.73,96.4,2.89,3.26,3.65,3.32,2.65,2.5,2.5
201402,93.98,86.7,2.85,3.16,3.52,3.28,2.65,2.49,2.5
201403,94.153,95.7,2.87,3.17,3.54,3.3,2.65,2.48,2.5
201404,94.214,92.5,2.88,3.17,3.54,3.3,2.65,2.49,2.5
201405,94.369,98.1,2.84,3.08,3.4,3.26,2.65,2.49,2.5
201406,94.248,94.5,2.75,2.97,3.3,3.17,2.65,2.48,2.5
201407,94.386,96.4,2.56,2.77,3.06,2.97,2.65,2.49,2.5
201408,94.551,94.0,2.54,2.77,3.09,2.93,2.52,2.34,2.25
201409,94.49,95.7,2.41,2.65,3.01,2.78,2.35,2.23,2.25
201410,94.205,97.4,2.24,2.42,2.77,2.6,2.21,2.06,2.0
201411,94.015,100.0,2.14,2.33,2.69,2.47,2.14,1.98,2.0
201412,94.006,105.2,2.14,2.33,2.68,2.46,2.13,1.99,2.0
201501,94.643,94.2,2.04,2.16,2.42,2.36,2.13,1.99,2.0
201502,94.587,92.9,2.02,2.11,2.35,2.3,2.12,1.99,2.0
201503,94.596,99.2,1.87,1.97,2.28,2.13,1.95,1.82,1.75
201504,94.625,98.7,1.74,1.86,2.18,1.99,1.81,1.73,1.75
201505,94.89,102.6,1.88,2.11,2.49,2.12,1.8,1.74,1.75
201506,94.909,95.0,1.77,2.04,2.47,2.01,1.7,1.57,1.5
201507,95.08,97.9,1.78,2.05,2.45,2.0,1.65,1.48,1.5
201508,95.213,95.6,1.74,1.95,2.31,1.98,1.64,1.49,1.5
201509,94.966,102.2,1.65,1.85,2.22,1.95,1.6,1.48,1.5
201510,94.966,106.3,1.63,1.78,2.09,1.96,1.58,1.48,1.5
201511,94.786,106.3,1.75,1.95,2.25,2.12,1.59,1.49,1.5
201512,95.07,109.0,1.72,1.9,2.18,2.14,1.67,1.48,1.5
201601,95.232,99.6,1.63,1.77,2.03,2.1,1.67,1.49,1.5
201602,95.64,95.6,1.47,1.59,1.83,1.95,1.64,1.49,1.5
201603,95.393,104.5,1.5,1.61,1.85,1.98,1.63,1.49,1.5
201604,95.573,102.1,1.47,1.57,1.81,1.94,1.61,1.49,1.5
201605,95.63,107.3,1.46,1.55,1.79,1.91,1.58,1.49,1.5
201606,95.611,103.4,1.33,1.41,1.62,1.79,1.43,1.29,1.25
201607,95.431,102.1,1.22,1.25,1.4,1.65,1.36,1.23,1.25
201608,95.677,100.8,1.24,1.26,1.42,1.65,1.35,1.23,1.25
201609,96.247,102.2,1.31,1.35,1.51,1.7,1.34,1.24,1.25
201610,96.379,108.4,1.36,1.41,1.6,1.78,1.35,1.23,1.25
201611,96.237,109.1,1.61,1.74,1.97,2.02,1.42,1.23,1.25
201612,96.342,111.2,1.69,1.87,2.16,2.16,1.54,1.23,1.25
201701,97.366,103.3,1.64,1.82,2.11,2.1,1.5,1.24,1.25
201702,97.632,95.2,1.67,1.86,2.16,2.13,1.49,1.23,1.25
201703,97.565,105.4,1.71,1.91,2.22,2.21,1.48,1.23,1.25
201704,97.442,103.9,1.68,1.86,2.18,2.2,1.43,1.23,1.25
201705,97.546,107.6,1.7,1.91,2.26,2.22,1.4,1.23,1.25
201706,97.338,104.2,1.67,1.86,2.17,2.21,1.38,1.24,1.25
201707,97.499,104.9,1.74,1.94,2.25,2.28,1.39,1.24,1.25
201708,98.058,101.3,1.78,1.99,2.29,2.32,1.39,1.23,1.25
201709,98.172,109.5,1.79,1.99,2.29,2.33,1.38,1.25,1.25
201710,98.077,108.0,2.03,2.25,2.46,2.57,1.38,1.24,1.25
201711,97.347,115.0,2.15,2.36,2.54,2.71,1.45,1.26,1.5
201712,97.698,112.9,2.1,2.3,2.47,2.65,1.66,1.51,1.5
201801,98.106,105.3,2.19,2.44,2.63,2.72,1.66,1.49,1.5
201802,98.855,101.7,2.28,2.54,2.77,2.82,1.65,1.49,1.5
201803,98.751,113.3,2.27,2.5,2.71,2.83,1.65,1.49,1.5
201804,98.931,109.9,2.19,2.44,2.66,2.79,1.65,1.47,1.5
201805,98.979,112.8,2.25,2.53,2.76,2.86,1.65,1.5,1.5
201806,98.779,108.7,2.18,2.44,2.66,2.81,1.65,1.49,1.5
201807,98.59,110.8,2.1,2.34,2.55,2.75,1.65,1.49,1.5
201808,99.462,107.0,2.02,2.24,2.46,2.66,1.65,1.5,1.5
201809,100.221,110.0,1.95,2.13,2.32,2.4,1.65,1.54,1.5
201810,100.041,113.6,2.01,2.16,2.34,2.45,1.68,1.52,1.5
201811,99.33,116.2,1.94,2.05,2.21,2.4,1.71,1.51,1.75
201812,98.988,116.4,1.83,1.89,1.99,2.3,1.91,1.77,1.75
201901,98.884,109.8,1.81,1.88,1.99,2.26,1.87,1.75,1.75
201902,99.311,99.8,1.8,1.87,1.99,2.25,1.87,1.76,1.75
201903,99.121,116.0,1.79,1.84,1.95,2.24,1.9,1.76,1.75
201904,99.481,111.4,1.74,1.77,1.89,2.21,1.89,1.75,1.75
201905,99.652,116.6,1.68,1.72,1.83,2.15,1.84,1.75,1.75
201906,99.491,110.0,1.5,1.53,1.62,2.0,1.8,1.76,1.75
201907,99.187,110.5,1.38,1.42,1.51,1.89,1.68,1.63,1.5
201908,99.425,111.5,1.16,1.2,1.25,1.69,1.49,1.51,1.5
201909,99.794,113.3,1.29,1.35,1.42,1.79,1.54,1.52,1.5
201910,100.041,115.7,1.36,1.44,1.58,1.86,1.46,1.35,1.25
201911,99.481,120.4,1.49,1.59,1.75,2.0,1.52,1.28,1.25
201912,99.719,121.6,1.39,1.48,1.65,1.95,1.53,1.28,1.25
202001,100.09,111.8,1.37,1.48,1.66,1.96,1.47,1.27,1.25
202002,100.16,97.8,1.25,1.36,1.54,1.85,1.42,1.24,1.25
202003,99.94,106.9,1.09,1.27,1.49,1.84,1.23,0.98,0.75
202004,99.5,108.9,1.02,1.26,1.5,2.15,1.1,0.74,0.75
202005,99.44,118.4,0.88,1.13,1.39,2.18,1.02,0.7,0.5
202006,99.71,116.9,0.85,1.13,1.39,2.22,0.79,0.48,0.5
202007,99.63,110.9,0.83,1.09,1.36,2.22,0.79,0.48,0.5
202008,100.19,111.7,0.83,1.09,1.37,2.19,0.68,0.5,0.5
202009,100.74,118.0,0.91,1.19,1.5,2.24,0.63,0.48,0.5
202010,100.18,115.8,0.91,1.2,1.51,2.24,0.63,0.51,0.5
202011,100.09,119.0,0.97,1.3,1.61,2.25,0.66,0.49,0.5
202012,100.33,119.1,0.97,1.32,1.68,2.21,0.66,0.51,0.5
202101,101.04,112.2,0.98,1.32,1.73,2.14,0.68,0.49,0.5
202102,101.58,106.2,1.0,1.35,1.85,2.06,0.73,0.49,0.5
202103,101.84,119.5,1.13,1.55,2.04,2.09,0.75,0.49,0.5
202104,101.98,118.9,1.14,1.58,2.04,1.98,0.74,0.48,0.5
202105,102.05,122.8,1.13,1.65,2.13,1.89,0.68,0.48,0.5
202106,102.05,119.5,1.3,1.7,2.1,1.91,0.66,0.51,0.5
202107,102.26,120.2,1.42,1.69,1.98,1.89,0.69,0.53,0.5
202108,102.75,116.5,1.41,1.65,1.91,1.84,0.77,0.56,0.75
202109,103.17,122.7,1.52,1.79,2.06,1.95,0.98,0.77,0.75
202110,103.35,125.0,1.84,2.15,2.4,2.3,1.08,0.74,0.75
202111,103.87,124.7,1.95,2.17,2.36,2.49,1.17,0.8,1.0
202112,104.04,127.2,1.8,1.98,2.19,2.41,1.27,1.01,1.0
202201,104.69,117.5,2.06,2.28,2.49,2.63,1.39,1.19,1.25
202202,105.3,107.9,2.29,2.5,2.69,2.87,1.5,1.22,1.25
