날짜,일조시간,일조율,일조시간등락,일조율등락,월
2010-01,167.9,54.65,0.1492128678986997,0.11735841341239017,1
2010-02,141.2,46.66,-0.15902322811197156,-0.1462031107044831,2
2010-03,133.0,35.87,-0.058073654390934815,-0.23124732104586365,3
2010-04,166.3,42.09,0.25037593984962414,0.17340395873989434,4
2010-05,178.5,40.59,0.07336139506915207,-0.03563791874554523,5
2010-06,203.0,45.91,0.13725490196078427,0.13106676521310656,6
2010-07,89.8,20.01,-0.5576354679802955,-0.5641472446090176,7
2010-08,96.5,22.89,0.07461024498886415,0.14392803598200898,8
2010-09,146.4,39.22,0.5170984455958549,0.7134119702927042,9
2010-10,194.6,55.84,0.3292349726775956,0.42376338602753716,10
2010-11,180.3,59.02,-0.07348406988694745,0.05694842406876788,11
2010-12,157.8,52.83,-0.12479201331114809,-0.10487970179600148,12
2011-01,218.5,71.15,0.38466413181242065,0.34677266704523957,1
2011-02,166.6,55.07,-0.23752860411899313,-0.22600140548137748,2
2011-03,240.2,64.83,0.4417767106842736,0.17722898129653175,3
2011-04,202.1,51.2,-0.1586178184845961,-0.21024217183402738,4
2011-05,180.4,41.02,-0.10737258782780801,-0.19882812500000002,5
2011-06,170.8,38.64,-0.053215077605321515,-0.058020477815699745,6
2011-07,80.4,17.91,-0.5292740046838407,-0.5364906832298137,7
2011-08,94.0,22.3,0.1691542288557213,0.24511446119486324,8
2011-09,180.4,48.29,0.9191489361702128,1.165470852017937,9
2011-10,215.3,63.81,0.19345898004434603,0.3213915924622075,10
2011-11,129.5,42.33,-0.398513701811426,-0.3366243535496004,11
2011-12,195.6,65.44,0.5104247104247104,0.5459484998818804,12
2012-01,190.5,62.05,-0.0260736196319018,-0.05180317848410754,1
2012-02,224.9,71.74,0.18057742782152242,0.15616438356164375,2
2012-03,191.8,51.63,-0.14717652289906624,-0.2803178143295232,3
2012-04,212.5,53.72,0.10792492179353497,0.04048034088708108,4
2012-05,251.3,57.04,0.18258823529411772,0.0618019359642592,5
2012-06,232.0,52.48,-0.0768006366892161,-0.07994389901823284,6
2012-07,144.0,32.11,-0.3793103448275862,-0.38814786585365846,7
2012-08,158.7,37.71,0.1020833333333333,0.1744004982871381,8
2012-09,190.8,51.19,0.20226843100189051,0.35746486343145056,9
2012-10,235.4,67.66,0.2337526205450733,0.32174252783746815,10
2012-11,181.1,59.32,-0.23067119796091762,-0.1232633757020396,11
2012-12,193.6,64.81,0.06902263942573161,0.09254888739042477,12
2013-01,167.7,54.55,-0.13378099173553726,-0.1583089029470761,1
2013-02,187.2,61.78,0.11627906976744184,0.13253895508707614,2
2013-03,256.3,69.05,0.36912393162393187,0.11767562317902236,3
2013-04,213.2,53.92,-0.16816230979321112,-0.21911658218682106,4
2013-05,238.1,54.08,0.11679174484052535,0.0029673590504450953,5
2013-06,224.0,50.67,-0.05921881562368747,-0.06305473372781056,6
2013-07,101.0,22.51,-0.5491071428571428,-0.5557529109926979,7
2013-08,217.9,51.73,1.1574257425742576,1.2980897378942688,8
2013-09,191.0,51.22,-0.12345112436897665,-0.009858882659965151,9
2013-10,249.9,71.79,0.30837696335078535,0.4016009371339322,10
2013-11,188.0,61.56,-0.24769907963185278,-0.14249895528625156,11
2013-12,184.4,61.73,-0.019148936170212738,0.0027615334632877797,12
2014-01,184.4,60.03,0.0,-0.02753928397861649,1
2014-02,163.9,54.15,-0.11117136659436011,-0.09795102448775617,2
2014-03,214.7,57.9,0.3099450884685784,0.06925207756232687,3
2014-04,213.2,53.97,-0.006986492780624132,-0.06787564766839382,4
2014-05,304.0,69.12,0.425891181988743,0.28071150639244036,5
2014-06,184.9,41.81,-0.3917763157894737,-0.3951099537037037,6
2014-07,172.7,38.48,-0.06598161168199035,-0.07964601769911517,7
2014-08,150.7,35.75,-0.1273885350318471,-0.07094594594594583,8
2014-09,214.3,57.42,0.4220305242203055,0.6061538461538463,9
2014-10,239.8,68.83,0.11899206719552025,0.1987112504353883,10
2014-11,194.1,63.54,-0.19057547956630527,-0.07685602208339382,11
2014-12,195.6,65.48,0.007727975270479082,0.030531948378973883,12
2015-01,193.3,62.94,-0.011758691206543825,-0.038790470372632946,1
2015-02,180.0,59.5,-0.06880496637351274,-0.054655227200508416,2
2015-03,270.8,73.07,0.5044444444444445,0.2280672268907562,3
2015-04,216.0,54.71,-0.2023633677991138,-0.25126590940194327,4
2015-05,290.4,66.03,0.34444444444444433,0.20690915737525128,5
2015-06,258.1,58.39,-0.11122589531680427,-0.11570498258367412,6
2015-07,176.1,39.23,-0.3177063153816351,-0.32813837985956507,7
2015-08,207.0,49.1,0.17546848381601365,0.2515931684935,8
2015-09,262.1,70.17,0.26618357487922717,0.4291242362525458,9
2015-10,239.7,68.72,-0.0854635635253721,-0.020664101467863794,10
2015-11,109.0,35.64,-0.5452649144764288,-0.4813736903376018,11
2015-12,177.8,59.48,0.6311926605504588,0.6689113355780021,12
2016-01,196.1,63.86,0.10292463442069733,0.0736381977135172,1
2016-02,195.2,62.26,-0.004589495155532974,-0.025054807391168166,2
2016-03,253.7,68.29,0.29969262295081966,0.09685191133954407,3
2016-04,219.5,55.47,-0.13480488766259358,-0.1877288036315713,4
2016-05,280.1,63.57,0.2760820045558088,0.14602487831260147,5
2016-06,229.7,51.97,-0.1799357372367013,-0.18247601069686958,6
2016-07,160.4,35.76,-0.3016978667827601,-0.3119107177217626,7
2016-08,236.1,56.11,0.47194513715710706,0.5690715883668904,8
2016-09,191.6,51.41,-0.18847945785684028,-0.08376403493138485,9
2016-10,195.7,56.27,0.02139874739039671,0.09453413732736826,10
2016-11,173.3,56.76,-0.11446090955544186,0.00870801492802542,11
2016-12,166.4,55.71,-0.03981534910559725,-0.0184989429175475,12
2017-01,209.0,67.97,0.2560096153846154,0.220068210375157,1
2017-02,210.0,69.31,0.004784688995215225,0.01971457996174797,2
2017-03,255.2,68.73,0.21523809523809523,-0.008368200836820106,3
2017-04,259.7,65.66,0.017633228840125303,-0.044667539647897714,4
2017-05,301.5,68.48,0.16095494801694277,0.04294852269265936,5
2017-06,285.2,64.51,-0.054063018242122785,-0.057973130841121434,6
2017-07,123.1,27.44,-0.5683730715287518,-0.5746395907611224,7
2017-08,166.2,39.47,0.3501218521527214,0.4384110787172011,8
2017-09,233.7,64.75,0.40613718411552346,0.6404864454015708,9
2017-10,222.7,66.14,-0.047068891741549046,0.021467181467181407,10
2017-11,163.9,59.45,-0.26403233048944763,-0.1011490777139401,11
2017-12,176.1,58.96,0.07443563148261134,-0.008242220353238072,12
2018-01,186.7,65.01,0.060193072118114754,0.10261194029850751,1
2018-02,194.2,66.53,0.04017139796464919,0.023381018304876156,2
2018-03,209.1,56.38,0.07672502574665296,-0.15256275364497218,3
2018-04,223.4,56.54,0.06838833094213292,0.0028378857750974706,4
2018-05,231.6,52.66,0.036705461056401045,-0.06862398302087025,5
2018-06,236.6,53.51,0.021588946459412783,0.01614128370679846,6
2018-07,228.5,52.64,-0.034234995773457344,-0.016258643244253412,7
2018-08,232.5,55.19,0.017505470459518557,0.04844224924012153,8
2018-09,218.7,58.6,-0.059354838709677504,0.061786555535423116,9
2018-10,241.9,69.43,0.10608139003200745,0.18481228668941996,10
2018-11,177.6,58.13,-0.2658123191401406,-0.16275385280138277,11
2018-12,199.9,66.92,0.12556306306306309,0.1512127988990195,12
2019-01,215.0,70.01,0.07553776888444208,0.0461745367603108,1
2019-02,190.5,62.98,-0.11395348837209307,-0.10041422653906595,2
2019-03,203.8,54.99,0.06981627296587933,-0.12686567164179097,3
2019-04,221.6,56.13,0.08734052993130503,0.020731042007637868,4
2019-05,314.0,71.4,0.4169675090252707,0.27204703367183325,5
2019-06,235.1,53.18,-0.25127388535031847,-0.25518207282913175,6
2019-07,150.1,33.44,-0.36154827732879624,-0.3711921775103423,7
2019-08,239.3,58.59,0.5942704863424386,0.752093301435407,8
2019-09,168.9,45.22,-0.2941913915587129,-0.22819593787335735,9
2019-10,236.5,67.8,0.4002368265245706,0.49933657673595744,10
2019-11,203.2,66.45,-0.14080338266384784,-0.019911504424778625,11
2019-12,164.2,54.93,-0.1919291338582677,-0.17336343115124153,12
2020-01,177.9,57.93,0.08343483556638254,0.054614964500273144,1
2020-02,185.0,58.99,0.03991006183249013,0.018297945796651227,2
2020-03,262.9,70.77,0.421081081081081,0.19969486353619237,3
2020-04,283.3,71.59,0.07759604412324084,0.01158683057792853,4
2020-05,177.9,40.38,-0.3720437698552771,-0.4359547422824417,5
2020-06,206.1,46.62,0.15851602023608757,0.15453194650817226,6
2020-07,119.4,26.62,-0.42066957787481796,-0.4290004290004289,7
2020-08,74.7,17.76,-0.3743718592964824,-0.3328324567993989,8
2020-09,174.3,46.77,1.3333333333333335,1.633445945945946,9
2020-10,227.1,65.3,0.30292598967297746,0.39619414154372445,10
2020-11,171.5,56.17,-0.2448260678115367,-0.1398162327718223,11
2020-12,203.6,68.16,0.18717201166180764,0.21345914189068882,12
2021-01,176.4,59.25,-0.13359528487229855,-0.1307218309859155,1
2021-02,181.0,59.74,0.026077097505669,0.008270042194092886,2
2021-03,213.0,57.37,0.17679558011049723,-0.039671911617007116,3
2021-04,208.6,52.74,-0.020657276995305174,-0.08070420080181273,4
2021-05,203.7,46.25,-0.023489932885906062,-0.12305650360257869,5
2021-06,185.5,41.96,-0.08934707903780059,-0.09275675675675676,6
2021-07,195.2,43.51,0.05229110512129376,0.0369399428026691,7
2021-08,127.3,30.24,-0.34784836065573765,-0.30498735922776377,8
2021-09,182.0,48.82,0.4296936370777691,0.6144179894179895,9
2021-10,168.4,48.38,-0.07472527472527468,-0.009012699713232264,10
2021-11,163.6,53.57,-0.028503562945368266,0.1072757337742869,11
2021-12,185.4,62.07,0.13325183374083127,0.1586708978906104,12
2022-01,206.9,67.35,0.11596548004315,0.0850652489125181,1
2022-02,203.8,67.33,-0.014983083615273007,-0.00029695619896064063,2
2022-03,173.0,46.64,-0.15112855740922482,-0.30729244021981283,3
2022-04,246.4,62.35,0.4242774566473988,0.336835334476844,4
