일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),평균풍속(m/s),최대풍속(m/s)
2009-12-01,-1,2.5,-4.2,21.5,11.5,2.5,8.3
2010-01-01,-4.5,-0.7,-8.1,29.3,14.2,2.3,6.9
2010-02-01,1.4,4.9,-1.7,55.3,26.5,2.4,6.6
2010-03-01,4.3,8.1,0.5,82.5,17,2.9,10.2
2010-04-01,9.5,14,5.6,62.8,27,2.9,10.9
2010-05-01,17.2,22,13,124,59,2.6,9.9
2010-06-01,23.4,28.2,19.3,127.6,71,2.1,6
2010-07-01,25.8,29.3,23.1,239.2,89.5,2.5,7.9
2010-08-01,26.5,30,23.8,598.7,99,2.4,10.7
2010-09-01,21.8,26,18.5,671.5,259.5,2.3,14
2010-10-01,14.5,19.3,10.4,25.6,15,2.2,8.1
2010-11-01,6.5,11.3,2.5,10.9,5,2.8,10.5
2010-12-01,-1.3,3.1,-5.1,16.1,6,3,9.1
2011-01-01,-7.2,-3.4,-10.5,8.9,5.3,2.8,8
2011-02-01,1.2,5.9,-2.5,29.1,28.5,2.6,10.6
2011-03-01,3.6,8.3,-0.1,14.6,5.8,3.4,9.9
2011-04-01,10.7,15.6,6.8,110.1,69,3.2,9.5
2011-05-01,17.9,23,13.6,53.4,15,2.8,9.7
2011-06-01,22,26.6,18.4,404.5,177,2.9,10.9
2011-07-01,24.6,28,22,1131,301.5,2.4,9.3
2011-08-01,25.8,29.5,23,166.8,41.5,2.5,9.4
2011-09-01,21.8,26.6,17.7,25.6,22.5,2.4,7.6
2011-10-01,14.2,19.3,9.7,32,20,2.1,7.1
2011-11-01,10.7,14.7,7.2,56.2,30,2.7,9.7
2011-12-01,-0.9,2.9,-4.1,7.1,3.5,2.6,7.7
2012-01-01,-2.8,1.3,-6.3,6.7,3.9,2.5,7.5
2012-02-01,-2,3,-6,0.8,0.3,2.9,8.1
2012-03-01,5.1,9.5,1.5,47.4,22,3.5,10.2
2012-04-01,12.3,17.9,7.8,157,47.5,3.4,12
2012-05-01,19.7,25.1,15.4,8.2,6.5,2.7,8.6
2012-06-01,24.1,29.7,20,91.9,69.5,2.8,9.1
2012-07-01,25.4,29,22.4,448.9,102.5,2.7,7.7
2012-08-01,27.1,30.9,23.9,464.9,137,3,13.7
2012-09-01,21,25,17.4,212,85.5,2.3,11.5
2012-10-01,15.3,20.5,11,99.3,44,2.3,7.2
2012-11-01,5.5,9.5,1.8,67.8,28,2.7,9.3
2012-12-01,-4.1,-0.5,-7.4,41.4,18.5,2.7,8.8
2013-01-01,-3.4,0.3,-6.6,22.1,16.5,2.7,8.2
2013-02-01,-1.2,2.8,-4.9,74.1,46.5,2.9,8.4
2013-03-01,5.1,10.8,0.7,27.3,11.5,3,8.8
2013-04-01,10,15,5.7,71.7,21,3.4,9.9
2013-05-01,18.2,23.6,13.7,132,56.5,2.9,8.5
2013-06-01,24.4,29.2,20.5,28.3,12,2.2,6.2
2013-07-01,25.5,28.3,23.4,676.2,165,3.4,10.9
2013-08-01,27.7,31.1,24.8,148.6,45,2.8,9.9
2013-09-01,21.8,25.9,18,138.5,50,2.2,6.2
2013-10-01,15.8,21.2,10.9,13.5,6.5,2.5,8.5
2013-11-01,6.2,10.7,2.1,46.8,14,2.7,12.6
2013-12-01,-0.2,3.5,-3.5,24.7,14,2.4,8.3
2014-01-01,-0.7,3.5,-4.9,13,5.3,2.4,7.8
2014-02-01,1.9,6.6,-1.8,16.2,11,2.7,7.4
2014-03-01,7.9,13.1,3.5,7.2,3.5,3,9.1
2014-04-01,14,19.6,9.4,31,13.5,2.8,9.3
2014-05-01,18.9,25.3,13.8,63,23,3.2,11.1
2014-06-01,23.1,27.8,19.7,98.1,33,2.6,8.3
2014-07-01,26.1,30.6,22.9,207.9,59.5,2.8,10.8
2014-08-01,25.2,29,22.1,172.8,46.5,2.4,9.3
2014-09-01,22.1,27,18,88.1,57.5,2.1,7.1
2014-10-01,15.6,21.4,10.7,52.2,21.5,2.4,9
2014-11-01,9,13.8,4.9,41.5,18,2.5,8.7
2014-12-01,-2.9,1.5,-6.7,17.9,10.5,2.8,11.1
2015-01-01,-0.9,3.6,-4.8,11.3,4,2.6,7.7
2015-02-01,1,6,-2.9,22.7,10.5,2.9,8.5
2015-03-01,6.3,12.4,1,9.6,5.5,3.1,9.1
2015-04-01,13.3,18.8,8.4,80.5,28,3.1,10.4
2015-05-01,18.9,24.9,13.6,28.9,14,3,11.1
2015-06-01,23.6,29.5,18.9,99,44.5,2.5,7.8
2015-07-01,25.8,30,22.6,226,80,2.8,8
2015-08-01,26.3,30.8,22.8,72.9,29,2.4,8.1
2015-09-01,22.4,28.1,17.5,26,18,2.3,6.7
2015-10-01,15.5,21.2,10.8,81.5,35,2.3,8.6
2015-11-01,8.9,12.7,5.9,104.6,24.5,2.7,7.7
2015-12-01,1.6,6,-2.1,29.1,13.5,2.3,8
2016-01-01,-3.2,1.1,-6.8,1,0.4,2.5,9
2016-02-01,0.2,5.1,-4.1,47.6,21,2.8,7.6
2016-03-01,7,12.6,2.4,40.5,40,2.4,7.1
2016-04-01,14.1,20.3,9.1,76.8,23.5,2.4,8
2016-05-01,19.6,25.7,14.1,160.5,45,2.4,8.7
2016-06-01,23.6,28.7,19.5,54.4,30.5,2.1,6.8
2016-07-01,26.2,29.8,23.3,358.2,108.5,2.1,6.1
2016-08-01,28,32.6,24.5,67.1,20,2.1,7.3
2016-09-01,23.1,27.9,19.3,33,13.5,2,8.1
2016-10-01,16.1,21.3,11.6,74.8,37,2.1,6.3
2016-11-01,6.8,11.6,2.8,16.7,5.5,2.2,6.1
2016-12-01,1.2,5.8,-2.7,61.1,29,2.2,7.2
2017-01-01,-1.8,2.9,-5.8,14.9,4.5,2.3,7
2017-02-01,-0.2,4.8,-4.7,11.1,5.1,2.4,7.8
2017-03-01,6.3,12.3,1.7,7.9,5,2.4,8.5
2017-04-01,13.9,20,9.1,61.6,37.5,2.6,8.1
2017-05-01,19.5,25.4,14.4,16.1,6,2.4,8.5
2017-06-01,23.3,28.8,18.7,66.6,29,2.4,6.4
2017-07-01,26.9,30.4,24.3,621,144.5,2,7.3
2017-08-01,25.9,29.7,22.9,297,124.5,2.3,7.7
2017-09-01,22.1,27.4,17.5,35,24,2,6.8
2017-10-01,16.4,22.5,11.6,26.5,20,1.9,7.6
2017-11-01,5.6,10.5,1.3,40.7,24,2.1,6.7
2017-12-01,-1.9,2.2,-5.7,34.8,20,1.8,6.7
2018-01-01,-4,0.1,-7.3,8.5,3.3,1.9,7.2
2018-02-01,-1.6,3.3,-5.9,29.6,25,2.2,6.3
2018-03-01,8.1,13.6,3.8,49.5,27,1.9,6.9
2018-04-01,13,18.5,8.1,130.3,59,2,8.8
2018-05-01,18.2,23.3,13.4,222,83,1.7,8
2018-06-01,23.1,28.4,18.9,171.5,71.5,1.7,5.7
2018-07-01,27.8,32.1,24.2,185.6,83.5,1.5,4.2
2018-08-01,28.8,33.3,25.2,202.6,96.5,1.7,7.1
2018-09-01,21.5,26,17.6,68.5,34.5,1.6,5.7
2018-10-01,13.1,18.6,8.5,120.5,55.5,1.5,6.1
2018-11-01,7.8,13.2,3.6,79.1,64,1.4,5.6
2018-12-01,-0.6,4.1,-4.7,16.4,9.5,1.8,5.9
2019-01-01,-0.9,4.1,-5.1,0,0,1.8,6.8
2019-02-01,1,6,-3.2,23.8,16,1.8,5.5
2019-03-01,7.1,12.4,2.7,26.8,16.5,2.1,7.2
2019-04-01,12.1,17.6,7.2,47.3,17.4,1.9,7.3
2019-05-01,19.4,25.6,13.7,37.8,22,2.1,6.1
2019-06-01,22.5,27.7,18.1,74,35.3,1.7,5.3
2019-07-01,25.9,30.1,22.7,194.4,62.3,1.8,5.9
2019-08-01,27.2,31.6,23.6,190.5,56.2,1.6,7.5
2019-09-01,22.6,27.1,19,139.8,63.2,2.2,11.8
2019-10-01,16.4,21.8,11.8,55.5,25.4,2.1,6.7
2019-11-01,7.6,12.9,3.1,78.8,21.1,2.2,7
2019-12-01,1.4,5.3,-2.6,22.6,9.8,2.1,7.5
2020-01-01,1.6,5.9,-1.7,60.5,46.3,2.1,7
2020-02-01,2.5,7.2,-1.3,53.1,16.6,2.3,8.2
2020-03-01,7.7,13.3,2.6,16.3,11.8,2.5,8.2
2020-04-01,11.1,16.6,6.3,16.9,10.3,3,8.9
2020-05-01,18,23.3,13.7,112.4,29.8,2.4,7.2
2020-06-01,23.9,29,19.9,139.6,64.7,2.3,7.6
2020-07-01,24.1,28,21.1,270.4,103.1,2.4,8.7
2020-08-01,26.5,29.3,24.4,675.7,102.6,2.3,8.3
2020-09-01,21.4,25.6,18,181.5,61,2.5,9.8
2020-10-01,14.3,19.5,9.6,0,0,2.1,7.2
2020-11-01,8,12.6,4,120.1,86.9,2.2,8.4
2020-12-01,-0.3,3.9,-4.2,4.6,2.9,2.2,6.5
2021-01-01,-2.4,2.2,-6.8,18.9,9.2,2.5,8.7
2021-02-01,2.7,7.9,-2.2,7.1,3.4,2.6,7.5
2021-03-01,9,14.8,4.3,110.9,67.5,2.4,6.9
2021-04-01,14.2,19.5,9.5,124.1,56.2,2.6,7.1
2021-05-01,17.1,21.9,12.8,183.1,66.9,2.4,8.4
2021-06-01,22.8,27.6,18.9,104.6,38.2,2.2,7.8
2021-07-01,28.1,32.2,24.6,168.3,67.4,2,7.4
2021-08-01,25.9,29.7,22.8,211.2,77.4,2.1,8.3
2021-09-01,22.6,26.9,18.8,131,68.1,2.3,7.1
2021-10-01,15.6,20.5,11.6,57,14.2,2.1,10.6
2021-11-01,8.2,13.1,4,62.4,27.2,2.1,9.3
2021-12-01,0.6,5.1,-3.5,7.9,2.8,2.3,8.1
2022-01-01,-2.2,2.6,-6.2,5.5,1.7,2.2,7.6
2022-02-01,-1.1,3.8,-5.3,4.7,1.7,2.6,7.4
2022-03-01,7.7,12.7,3.2,102.6,42.1,2.5,8.8
2022-04-01,14.8,20.6,10,20.4,15.5,2.7,8.4
